Percentage served,Time in ms
0,47.639
1,47.639
2,47.860
3,47.860
4,47.860
5,47.919
6,47.919
7,47.919
8,47.919
9,47.940
10,47.940
11,47.940
12,48.121
13,48.121
14,48.121
15,48.128
16,48.128
17,48.128
18,48.128
19,48.160
20,48.160
21,48.160
22,48.205
23,48.205
24,48.205
25,48.222
26,48.222
27,48.222
28,48.222
29,48.313
30,48.313
31,48.313
32,48.340
33,48.340
34,48.340
35,48.584
36,48.584
37,48.584
38,48.584
39,48.810
40,48.810
41,48.810
42,48.987
43,48.987
44,48.987
45,49.592
46,49.592
47,49.592
48,49.592
49,50.481
50,50.481
51,50.481
52,51.036
53,51.036
54,51.036
55,51.410
56,51.410
57,51.410
58,51.410
59,51.901
60,51.901
61,51.901
62,52.999
63,52.999
64,52.999
65,53.631
66,53.631
67,53.631
68,53.631
69,54.127
70,54.127
71,54.127
72,57.720
73,57.720
74,57.720
75,86.891
76,86.891
77,86.891
78,86.891
79,114.499
80,114.499
81,114.499
82,118.142
83,118.142
84,118.142
85,122.164
86,122.164
87,122.164
88,122.164
89,122.339
90,122.339
91,122.339
92,138.926
93,138.926
94,138.926
95,161.309
96,161.309
97,161.309
98,161.309
99,3636145909050257.500
100,161.309
