starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:14:46 2021	1614352486	0	47	48	47
Fri Feb 26 15:14:47 2021	1614352487	0	48	48	48
Fri Feb 26 15:14:46 2021	1614352486	0	48	48	48
Fri Feb 26 15:14:46 2021	1614352486	0	48	48	48
Fri Feb 26 15:14:46 2021	1614352486	0	48	48	48
Fri Feb 26 15:14:46 2021	1614352486	0	48	48	48
Fri Feb 26 15:14:46 2021	1614352486	0	48	48	48
Fri Feb 26 15:14:47 2021	1614352487	0	48	48	48
Fri Feb 26 15:14:46 2021	1614352486	0	48	48	48
Fri Feb 26 15:14:47 2021	1614352487	0	48	48	48
Fri Feb 26 15:14:47 2021	1614352487	0	48	48	48
Fri Feb 26 15:14:47 2021	1614352487	0	48	49	48
Fri Feb 26 15:14:46 2021	1614352486	0	49	49	49
Fri Feb 26 15:14:46 2021	1614352486	0	49	49	49
Fri Feb 26 15:14:47 2021	1614352487	0	49	50	49
Fri Feb 26 15:14:46 2021	1614352486	0	50	50	50
Fri Feb 26 15:14:47 2021	1614352487	0	51	51	51
Fri Feb 26 15:14:47 2021	1614352487	0	51	51	51
Fri Feb 26 15:14:46 2021	1614352486	0	52	52	52
Fri Feb 26 15:14:46 2021	1614352486	0	53	53	53
Fri Feb 26 15:14:47 2021	1614352487	0	53	54	53
Fri Feb 26 15:14:47 2021	1614352487	0	54	54	54
Fri Feb 26 15:14:47 2021	1614352487	0	58	58	58
Fri Feb 26 15:14:46 2021	1614352486	0	87	87	87
Fri Feb 26 15:14:46 2021	1614352486	0	114	114	114
Fri Feb 26 15:14:45 2021	1614352485	0	118	118	117
Fri Feb 26 15:14:45 2021	1614352485	2	120	122	120
Fri Feb 26 15:14:45 2021	1614352485	0	122	122	122
Fri Feb 26 15:14:45 2021	1614352485	0	139	139	139
Fri Feb 26 15:14:46 2021	1614352486	0	161	161	161
