Percentage served,Time in ms
0,165.407
1,165.407
2,173.285
3,173.285
4,173.285
5,173.285
6,240.667
7,240.667
8,240.667
9,240.667
10,246.116
11,246.116
12,246.116
13,246.116
14,249.563
15,249.563
16,249.563
17,249.563
18,353.986
19,353.986
20,353.986
21,353.986
22,355.350
23,355.350
24,355.350
25,355.350
26,375.996
27,375.996
28,375.996
29,375.996
30,385.891
31,385.891
32,385.891
33,385.891
34,404.220
35,404.220
36,404.220
37,404.220
38,411.611
39,411.611
40,411.611
41,411.611
42,425.817
43,425.817
44,425.817
45,425.817
46,439.920
47,439.920
48,439.920
49,439.920
50,452.415
51,452.415
52,452.415
53,452.415
54,453.315
55,453.315
56,453.315
57,453.315
58,509.565
59,509.565
60,509.565
61,509.565
62,510.945
63,510.945
64,510.945
65,510.945
66,516.238
67,516.238
68,516.238
69,516.238
70,562.537
71,562.537
72,562.537
73,562.537
74,583.588
75,583.588
76,583.588
77,583.588
78,584.142
79,584.142
80,584.142
81,584.142
82,585.448
83,585.448
84,585.448
85,585.448
86,593.890
87,593.890
88,593.890
89,593.890
90,638.874
91,638.874
92,638.874
93,638.874
94,653.051
95,653.051
96,653.051
97,653.051
98,3636145909050257.500
99,3636145909050257.500
100,653.051
