starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:57:43 2021	1614355063	1	121	123	121
Fri Feb 26 15:57:43 2021	1614355063	1	128	129	128
Fri Feb 26 15:57:43 2021	1614355063	1	151	152	151
Fri Feb 26 15:57:43 2021	1614355063	1	162	163	162
Fri Feb 26 15:57:43 2021	1614355063	1	179	180	179
Fri Feb 26 15:57:43 2021	1614355063	1	179	180	179
Fri Feb 26 15:57:43 2021	1614355063	1	186	187	186
Fri Feb 26 15:57:43 2021	1614355063	1	220	221	220
Fri Feb 26 15:57:43 2021	1614355063	1	227	228	227
Fri Feb 26 15:57:43 2021	1614355063	1	246	247	245
Fri Feb 26 15:57:43 2021	1614355063	1	281	282	281
Fri Feb 26 15:57:43 2021	1614355063	1	303	304	303
Fri Feb 26 15:57:43 2021	1614355063	1	327	328	327
Fri Feb 26 15:57:43 2021	1614355063	1	329	330	329
Fri Feb 26 15:57:43 2021	1614355063	1	332	333	332
Fri Feb 26 15:57:43 2021	1614355063	1	361	362	361
Fri Feb 26 15:57:43 2021	1614355063	1	369	370	369
Fri Feb 26 15:57:43 2021	1614355063	1	376	377	376
Fri Feb 26 15:57:43 2021	1614355063	1	378	379	378
Fri Feb 26 15:57:43 2021	1614355063	1	442	443	442
Fri Feb 26 15:57:43 2021	1614355063	1	448	449	448
Fri Feb 26 15:57:43 2021	1614355063	1	481	482	481
Fri Feb 26 15:57:43 2021	1614355063	1	497	498	497
Fri Feb 26 15:57:43 2021	1614355063	1	536	537	536
Fri Feb 26 15:57:43 2021	1614355063	1	549	550	549
